Profit and Loss,,,,,,,
"SBC Accounting and Tax, LLC",,,,,,,
All Dates,,,,,,,

,Jan - Mar 2025,Apr - Jun 2025,Jul - Sep 2025,Oct - Dec 2025,Jan - Mar 2026,Apr - Jun 2026,Total
Income,,,,,,,
Accounting and Tax Services,,,,,,,
Accounting Services,"12,700.00","37,886.00","38,633.82","42,096.73","39,593.68","13,764.56","184,674.79"
Payroll Service,,85.00,"1,190.00","1,477.49","3,925.38","1,222.02","7,899.89"
Tax Services - Business,"1,900.00","11,150.00","5,600.00","10,278.25","2,270.81","5,822.66","37,021.72"
Tax Services - Individual,"1,700.00","4,950.00","3,300.00","4,518.07","1,292.06","3,778.91","19,539.04"
Total for Accounting and Tax Services,"16,300.00","54,071.00","48,723.82","58,370.54","47,081.93","24,588.15","$249,135.44"
Advisory Services,,,,,,,
Strategic Advisory,"-2,939.00","10,499.00","9,346.00","16,056.90",840.00,,"33,802.90"
Total for Advisory Services,"-2,939.00","10,499.00","9,346.00","16,056.90",840.00,,"$33,802.90"
Discounts Given,,,,,,-700.00,-700.00
Reimbursable Expenses,,,,,,,
Billable Expense,,,125.00,66.68,200.04,66.68,458.40
Total for Reimbursable Expenses,,,125.00,66.68,200.04,66.68,$458.40
Unapplied Payment,,508.82,-508.82,"3,855.01",0.00,0.00,"3,855.01"
Uncategorized Income,,,,,0.00,,0.00
Total for Income,"13,361.00","65,078.82","57,686.00","78,349.13","48,121.97","23,954.83","$286,551.75"
Cost of Goods Sold,,,,,,,
Anchor Fee,,,20.00,105.01,260.00,55.00,440.01
Contract Labor - Billable Hours,,"13,073.63","11,137.50","20,788.75","21,295.23","8,430.90","74,726.01"
Cost of Goods Sold,,,,,,,
Subcontractor expenses,,527.73,,,,,527.73
Total for Cost of Goods Sold,,527.73,,,,,$527.73
QuickBooks Payments Fees,328.60,811.17,683.72,675.91,261.10,86.10,"2,846.60"
Total for Cost of Goods Sold,328.60,"14,412.53","11,841.22","21,569.67","21,816.33","8,572.00","$78,540.35"
Gross Profit,"13,032.40","50,666.29","45,844.78","56,779.46","26,305.64","15,382.83","$208,011.40"
Expenses,,,,,,,
Advertising & marketing,,87.31,,"2,172.06","1,899.50",75.00,"4,233.87"
Ask My Client,,,,,,"10,741.00","10,741.00"
